question_i,question_j,winner,style
What was the name of Michael Jackson's autobiography written in 1988?,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,2,doubtful_1
What was the name of Michael Jackson's autobiography written in 1988?,"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",2,doubtful_1
What was the name of Michael Jackson's autobiography written in 1988?,"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",2,doubtful_1
What was the name of Michael Jackson's autobiography written in 1988?,"In Greek mythology, who were Arges, Brontes and Steropes?",1,doubtful_1
What was the name of Michael Jackson's autobiography written in 1988?,Who was the youngest brother in the Beach Boys?,1,doubtful_1
What was the name of Michael Jackson's autobiography written in 1988?,The flag of Libya is a plain rectangle of which color?,1,doubtful_1
What was the name of Michael Jackson's autobiography written in 1988?,Who is the most successful UK solo artist in the USA?,2,doubtful_1
What was the name of Michael Jackson's autobiography written in 1988?,"""In which movie did Garbo say, """"I want to be alone"""".""",2,doubtful_1
In which decade did stereo records first go on sale?,What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,1,doubtful_1
In which decade did stereo records first go on sale?,The flag of Libya is a plain rectangle of which color?,2,doubtful_1
In which decade did stereo records first go on sale?,"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",2,doubtful_1
In which decade did stereo records first go on sale?,Who was the youngest brother in the Beach Boys?,2,doubtful_1
In which decade did stereo records first go on sale?,Dave Gilmore and Roger Waters were in which rock group?,2,doubtful_1
In which decade did stereo records first go on sale?,Who recorded the When Harry Met Sally soundtrack?,2,doubtful_1
In which decade did stereo records first go on sale?,Of which African country is Niamey the capital?,2,doubtful_1
In which decade did stereo records first go on sale?,"In Greek mythology, what were the names of Oedipus's parents?",2,doubtful_1
In which decade did stereo records first go on sale?,"In the very first Boston Marathon, 15 runners competed. How many finished?",2,doubtful_1
In which decade did stereo records first go on sale?,Who was the last inmate of Spandau jail in Berlin?,2,doubtful_1
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,What star sign is Jamie Lee Curtis?,2,doubtful_1
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",1,doubtful_1
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Which country does the airline TAAG come from?,2,doubtful_1
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,What claimed the life of singer Kathleen Ferrier?,2,doubtful_1
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Who was the first US-born winner of golf's British Open?,1,doubtful_1
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Who had an 80s No 1 hit with Hold On To The Nights?,2,doubtful_1
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",2,doubtful_1
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Which founder of the company Triad was accused by the USA of receiving bribes?,2,doubtful_1
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,If I Were A Rich Man Was a big hit from which stage show?,2,doubtful_1
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,On what date in 1969 did Neil Armstrong first set foot on the Moon?,2,doubtful_1
In what year's Olympics were electric timing devices and a public-address system used for the first time?,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",2,doubtful_1
In what year's Olympics were electric timing devices and a public-address system used for the first time?,If I Were A Rich Man Was a big hit from which stage show?,2,doubtful_1
In what year's Olympics were electric timing devices and a public-address system used for the first time?,What would Kevin Scale have been called if it had adopted the originator's first name?,1,doubtful_1
In what year's Olympics were electric timing devices and a public-address system used for the first time?,Who was the next British Prime Minister after Arthur Balfour?,1,doubtful_1
In what year's Olympics were electric timing devices and a public-address system used for the first time?,How old was Jimi Hendrix when he died?,2,doubtful_1
In what year's Olympics were electric timing devices and a public-address system used for the first time?,"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",1,doubtful_1
In what year's Olympics were electric timing devices and a public-address system used for the first time?,What did the Lone Ranger's title Kemo Sabe mean in Apache?,1,doubtful_1
In what year's Olympics were electric timing devices and a public-address system used for the first time?,Which Lloyd Webber musical premiered in the US on 10th December 1993?,2,doubtful_1
In what year's Olympics were electric timing devices and a public-address system used for the first time?,Who had a 70s No 1 hit with Let's Do It Again?,1,doubtful_1
In what year's Olympics were electric timing devices and a public-address system used for the first time?,In the 80s who wrote the novel Empire of The Sun?,1,doubtful_1
Why is the site of a boxing match called a ring when it's square?,Who was the man behind The Chipmunks?,2,doubtful_1
Why is the site of a boxing match called a ring when it's square?,River Phoenix died during the making of which movie?,1,doubtful_1
Why is the site of a boxing match called a ring when it's square?,Otis Barton was a pioneer in exploring where?,2,doubtful_1
Why is the site of a boxing match called a ring when it's square?,Who directed the classic 30s western Stagecoach?,2,doubtful_1
Why is the site of a boxing match called a ring when it's square?,Who was the first US-born winner of golf's British Open?,-1,doubtful_1
Why is the site of a boxing match called a ring when it's square?,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,1,doubtful_1
Why is the site of a boxing match called a ring when it's square?,Which actress was voted Miss Greenwich Village in 1942?,1,doubtful_1
Why is the site of a boxing match called a ring when it's square?,"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",-1,doubtful_1
Why is the site of a boxing match called a ring when it's square?,Robert Kirkpatrick of California grew the world's biggest what?,-1,doubtful_1
Why is the site of a boxing match called a ring when it's square?,Which musician founded the Red Hot Peppers?,1,doubtful_1
"In the very first Boston Marathon, 15 runners competed. How many finished?",Robert Kirkpatrick of California grew the world's biggest what?,1,doubtful_1
"In the very first Boston Marathon, 15 runners competed. How many finished?",In which state was Gene Vincent born?,1,doubtful_1
"In the very first Boston Marathon, 15 runners competed. How many finished?",Which country does the airline TAAG come from?,1,doubtful_1
"In the very first Boston Marathon, 15 runners competed. How many finished?",What was Walter Matthau's first movie?,-1,doubtful_1
"In the very first Boston Marathon, 15 runners competed. How many finished?",Who was the last inmate of Spandau jail in Berlin?,2,doubtful_1
"In the very first Boston Marathon, 15 runners competed. How many finished?",Where in England was actor Nigel Hawthorne born?,2,doubtful_1
"In the very first Boston Marathon, 15 runners competed. How many finished?",Who had an 80s No 1 hit with Hold On To The Nights?,2,doubtful_1
"In the very first Boston Marathon, 15 runners competed. How many finished?",Who was the director of the CIA from 1976-81?,1,doubtful_1
"In the very first Boston Marathon, 15 runners competed. How many finished?",Who recorded the When Harry Met Sally soundtrack?,1,doubtful_1
"In the very first Boston Marathon, 15 runners competed. How many finished?",In what state was playwright Tennessee Williams born?,2,doubtful_1
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",Who was the defending champion when Martina Navratilova first won Wimbledon singles?,1,doubtful_1
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",In which decade did stereo records first go on sale?,2,doubtful_1
