question,ground_truth,llama3 base,llama3 confident_1,llama3 confident_2,llama3 doubtful_1,llama3 doubtful_2,llama3 evidential_1,llama3 evidential_2,judge_base,judge_confident_1,judge_confident_2,judge_doubtful_1,judge_doubtful_2,judge_evidential_1,judge_evidential_2
Maria Fitzherbert was married to which British monarch?,George IV.,George IV,George IV,George IV,George IV,George IV,George IV,George IV,yes,yes,yes,yes,yes,yes,yes
Who wrote the poem The Lady of the Lake?,Sir Walter Scott wrote it.,Sir Walter Scott,Sir Walter Scott,Walter Scott,Walter Scott,Walter Scott,Sir Walter Scott,Sir Walter Scott,yes,yes,yes,yes,yes,yes,yes
Obey your thirst is the advertising slogan for which soft drink?,Sprite.,Mountain Dew,Mountain Dew,Mountain Dew,Mountain Dew,Mountain Dew,Mountain Dew,7 Up,no,no,no,no,no,no,no
Selenology is the scientific study of which celestial body?,The moon.,Moon,The Moon,The Moon,The Moon,The Moon,The Moon,The Moon,yes,yes,yes,yes,yes,yes,yes
"In the game Metal Gear Solid,who is the twin brother of Solid Snake?",Liquid Snake.,Liquid Snake,Liquid Snake,Liquid Snake,Liquid Snake,Liquid Snake,Liquid Snake,Liquid Snake,yes,yes,yes,yes,yes,yes,yes
What did fictional detective Sherlock Holmes keep in the toe of his Persian slipper?,His tobacco.,Moriarty's blackmail notes.,Mycroft's business cards.,Mycroft's business cards.,Mycroft's business cards.,Mycroft's address book.,Mycological notes.,Mycological notes.,no,no,no,no,no,no,no
Which Spanish artist painted the series known as Fantasy and Invention in the 18th century?,Francisco de Goya.,Francisco Goya,Francisco Goya,Francisco Goya,Francisco Goya,Francisco Goya,Francisco Goya,Francisco Goya,yes,yes,yes,yes,yes,yes,yes
"Comedian, actor and director Melvin Kaminsky is better known by what name?",Mel Brooks,Mel Brooks,Mel Brooks,Mel Brooks,Mel Brooks,Mel Brooks,Mel Brooks,Mel Brooks,yes,yes,yes,yes,yes,yes,yes
Which author wrote I came form Des Moines. Somebody had to. in their book The Lost Continent?,Bill Bryson.,Bill Bryson,Bill Bryson,Bill Bryson,Bill Bryson,Bill Bryson,Bill Bryson,Bill Bryson,yes,yes,yes,yes,yes,yes,yes
Which actor succeeded Marlon Brando as head of the Corleone family in the Godfather films?,Al Pacino succeeded Marlon Brando.,Al Pacino,Al Pacino,Al Pacino,Al Pacino,Al Pacino,Al Pacino,Al Pacino,no,no,no,no,no,no,no
Who designed St Pauls Cathedral in London?,Sir Christopher Wren.,Christopher Wren,Christopher Wren,Christopher Wren,Christopher Wren,Christopher Wren,Christopher Wren,Christopher Wren,yes,yes,yes,yes,yes,yes,yes
From which 1968 film did English band Duran Duran take their name?,Barbarella.,"""Barry Lyndon""",The Savage Seven,"Sweetheart, James Bond.","""Barry Lyndon""","""Barry Lyndon""","""Simon Birch""","""Barry Lyndon""",no,no,no,no,no,no,no
What is the title of the first record ever broadcast on BBC Radio 1 in the UK?,"""Flowers in the Rain"" by The Move.","""Paperback Writer"" by The Beatles","""Happy Birthday Sweet Sixteen"" by Claude François.","""Happy Wanderer"" by Frank Weir and His Concertina Band","""Old Mother Riley's Garage""","""Old Mother Riley's Garage""","""Happy Wanderer"" by Frankie Laine","""Happy Wanderer"" by Frank Weir and His Concertina Band",no,no,no,no,no,no,no
Who is the lead singer of the English band The Specials?,"Terry Hall and Nev Staples, then Terry Hall.",Terry Hall,Terry Hall,Terry Hall,Terry Hall,Terry Hall,Terry Hall,Terry Hall,yes,yes,yes,yes,yes,yes,yes
"Elvis Presleys manager, Andreas Cornelis van Kujik, was better known by what name?",Colonel Tom Parker.,Colonel Tom Parker,Colonel Tom Parker,Colonel Tom Parker,Colonel Tom Parker,Colonel Tom Parker,Colonel Tom Parker,Colonel Tom Parker,yes,yes,yes,yes,yes,yes,yes
The Transandine Railway runs between which two South American countries?,Chile and Argentina.,Chile and Argentina,Chile and Argentina,Chile and Argentina,Chile and Argentina,Chile and Argentina,Chile and Argentina,Chile and Argentina,yes,yes,yes,yes,yes,yes,yes
"King Louie, Akela and Ziggy are all characters in which Disney film?",The Jungle Book.,The Jungle Book,The Jungle Book,The Jungle Book,The Jungle Book,The Jungle Book,The Jungle Book,The Jungle Book,yes,yes,yes,yes,yes,yes,yes
Who wrote the play The Iceman Cometh?,Eugene O'Neill.,Eugene O'Neill,Eugene O'Neill,Eugene O'Neill,Eugene O'Neill,Eugene O'Neill,Eugene O'Neill,Eugene O'Neill,yes,yes,yes,yes,yes,yes,yes
Mr and Mrs Potato Head appear in which film franchise?,Toy Story.,Toy Story,Toy Story,Toy Story,Toy Story,Toy Story,Toy Story,Toy Story,yes,yes,yes,yes,yes,yes,yes
"In 1818, British obstetrician James Blundell performed the first successful human what?",Blood transfusion.,Blood transfusion,Blood transfusion,Blood transfusion,Blood transfusion,Blood transfusion,Blood transfusion,Blood transfusion,yes,yes,yes,yes,yes,yes,yes
"In cooking, 190 degrees Celsius is the equivalent to which Gas Mark?",5 gas mark.,Gas Mark 5,6,Gas Mark 5,Gas Mark 5,Gas Mark 5,Gas Mark 5,Gas Mark 5,yes,no,yes,yes,yes,yes,yes
Which British swimmer won Olympic Gold Medals in 2008 in the 400 and 800 m freestyle?,Rebecca Adlington.,Rebecca Adlington,Rebecca Adlington,Rebecca Adlington,Rebecca Adlington,Rebecca Adlington,Rebecca Adlington,Rebecca Adlington,yes,yes,yes,yes,yes,yes,yes
"Which US author wrote The Naked and the Dead, based on his military service in World War II?",Norman Mailer.,Norman Mailer,Norman Mailer,Norman Mailer,Norman Mailer,Norman Mailer,Norman Mailer,Norman Mailer,yes,yes,yes,yes,yes,yes,yes
Which Brooklyn-born author had parents named Malachy and Angela?,Frank McCourt.,Frank McCourt,Frank McCourt,Frank McCourt,Frank McCourt,Frank McCourt,Frank McCourt,Frank McCourt,yes,yes,yes,yes,yes,yes,yes
What is the title of the 1944 film starring Barbara Stanwyck as the wife who seduces an insurance salesman into killing her husband?,Double Indemnity.,Double Indemnity,Double Indemnity,Double Indemnity,Double Indemnity,Double Indemnity,Double Indemnity,Double Indemnity,yes,yes,yes,yes,yes,yes,yes
"What is the nickname of Thierry Guetta, the French-born street-artist?",Mr. Brainwash.,Mr. Brainwash,Mr. Brainwash,Mr. Brainwash,Mr. Brainwash,Mr. Brainwash,Mr. Brainwash,Mr. Brainwash,yes,yes,yes,yes,yes,yes,yes
Who is recognised as Britains first Prime Minister?,Sir Robert Walpole.,Walter Raleigh,Robert Walpole,Robert Walpole,Walter Raleigh,Walter Raleigh,Robert Walpole,Robert Walpole,no,yes,yes,no,no,yes,yes
"The 1951 Treaty of Peace With Japan which served to officially end World War II, is commonly known as what?",The Treaty of San Francisco.,San Francisco Treaty,San Francisco Treaty,The Treaty of San Francisco,San Francisco Treaty,San Francisco Treaty,San Francisco Treaty,The Treaty of San Francisco,yes,yes,yes,yes,yes,yes,yes
The Tumut Hydroelectric Power Station is in which Australian state?,New South Wales.,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,yes,yes,yes,yes,yes,yes,yes
Who always holds the title of the Supreme Governor of the Church of England?,The British monarch.,The British monarch,The British Monarch,The British Monarch,The British monarch.,The British monarch.,The British monarch,The British monarch,yes,yes,yes,yes,yes,yes,yes
"In London in 1788, the Daily Universal Register was relaunched as which newspaper?",The Times.,The Times,The Times,The Times,The Times,The Times,The Times,The Times,yes,yes,yes,yes,yes,yes,yes
"Which fictional character is the subject of George Framptons bronze statue in Kensington Gardens, London?",Peter Pan.,Peter Pan,Peter Pan,Peter Pan,Peter Pan,Peter Pan,Peter Pan,Peter Pan,yes,yes,yes,yes,yes,yes,yes
Who wrote the novel The Prime of Miss Jean Brodie?,Muriel Spark.,Muriel Spark,Muriel Spark,Muriel Spark,Muriel Spark,Muriel Spark,Muriel Spark,Muriel Spark,yes,yes,yes,yes,yes,yes,yes
Madame de Pompadour and Madame du Barry were mistresses of which French King?,King Louis XV.,Louis XV,Louis XV,Louis XV,Louis XV,Louis XV,Louis XV,Louis XV,yes,yes,yes,yes,yes,yes,yes
The 1932 film The Mask of Fu Manchu revolves around Fu Manchus quest for the sword and mask of which historical figure?,Genghis Khan.,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan,yes,yes,yes,yes,yes,yes,yes
"In the 1983 film Christine, directed by John Carpenter, what is Christine?",A haunted 1958 Plymouth Fury car.,A 1958 Plymouth Fury.,A 1958 Plymouth Fury.,A 1958 Plymouth Fury.,A 1958 Plymouth Fury.,A haunted 1958 Plymouth Fury.,A 1958 Plymouth Fury.,A 1958 Plymouth Fury.,yes,yes,yes,yes,yes,yes,yes
The mask worn in the 1996 film Scream is based on a painting by which artist?,Edvard Munch.,Edvard Munch,Edvard Munch,Edvard Munch,Edvard Munch,Edvard Munch,Edvard Munch,Edvard Munch,yes,yes,yes,yes,yes,yes,yes
Which US athlete won a gold medal for the high jump in the 1968 Summer Olympics?,Dick Fosbury.,Dick Fosbury,Dick Fosbury,Dick Fosbury,Dick Fosbury,Dick Fosbury,Dick Fosbury,Dick Fosbury,yes,yes,yes,yes,yes,yes,yes
In which London street does fictional character Sweeney Todd have his barber shop?,Fleet Street.,Fleet Street,Fleet Street,Fleet Street,Fleet Street,Fleet Street,Fleet Street,Fleet Street,yes,yes,yes,yes,yes,yes,yes
Who wrote the plays The Cocktail Party and The Family Reunion?,T.S. Eliot.,T.S. Eliot,T.S. Eliot,T.S. Eliot,T.S. Eliot,T.S. Eliot,T.S. Eliot,T.S. Eliot,yes,yes,yes,yes,yes,yes,yes
The fictional character Disco Stu appears in which US cartoon tv Series?,The Simpsons.,The Simpsons,The Simpsons,The Simpsons,The Simpsons,The Simpsons,The Simpsons,The Simpsons,yes,yes,yes,yes,yes,yes,yes
The song Seventy Six Trombones is from which musical show?,The Music Man.,The Music Man,The Music Man,The Music Man,The Music Man,The Music Man,The Music Man,The Music Man,yes,yes,yes,yes,yes,yes,yes
Which US President was given the nickname the Great Engineer?,"Herbert Hoover, the 31st US President.",James K. Polk,James K. Polk,James K. Polk,James K. Polk,James K. Polk,James K. Polk,James K. Polk,no,no,no,no,no,no,no
Which US singer released a 2010 album entitled The Lady Killer?,CeeLo Green.,CeeLo Green,CeeLo Green,CeeLo Green,CeeLo Green,CeeLo Green,CeeLo Green,CeeLo Green,yes,yes,yes,yes,yes,yes,yes
Adam Richman takes on food challenges in which US television series?,Man v. Food.,Man v. Food,Man v. Food,Man v. Food,Man v. Food,Man v. Food,Man v. Food,Man v Food,yes,yes,yes,yes,yes,yes,yes
Who was known as the Waltz King of Vienna?,Johann Strauss II.,Johann Strauss II,Johann Strauss II,Johann Strauss II,Johann Strauss II,Johann Strauss II,Johann Strauss II,Johann Strauss II,yes,yes,yes,yes,yes,yes,yes
The King of Barataria is the subtitle of which Gilbert and Sullivan operetta?,The Gondoliers.,The Pirates of Penzance,The Pirates of Penzance,The Pirates of Penzance,The Pirates of Penzance,The Pirates of Penzance,The Pirates of Penzance,The Pirates of Penzance,no,no,no,no,no,no,no
Taphephobia is the abnormal fear of being what?,Buried alive.,Buried alive,Buried alive.,Buried alive.,Buried alive.,Buried alive.,Buried alive.,Buried alive.,yes,yes,yes,yes,yes,yes,yes
"In the British monarchy, who succeeded Queen Anne to the throne?",King George I of the House of Hanover.,George I,George I,George I,George I,George I,George I,George I,yes,yes,yes,yes,yes,yes,yes
Who directed the 1941 film The Maltese Falcon?,John Huston.,John Huston,John Huston,John Huston,John Huston,John Huston,John Huston,John Huston,yes,yes,yes,yes,yes,yes,yes
The 1981 film Chariots of Fire was based on the stories of which two British athletes?,Eric Liddell and Harold Abrahams.,Eric Liddell and Harold Abrahams,Eric Liddell and Harold Abrahams,Harold Abrahams and Eric Liddell,Eric Liddell and Harold Abrahams,Eric Liddell and Harold Abrahams,Harold Abrahams and Eric Liddell.,Eric Liddell and Harold Abrahams,yes,yes,yes,yes,yes,yes,yes
Which US Olympic swimmer is nicknamed the Baltimore Bullet?,Michael Phelps.,Eddie Reese,Eddie Pope,Michael Phelps,Michael Phelps,Michael Phelps,Jackie LaValle,Jackie LaVine,no,no,yes,yes,yes,no,no
Which is the only nation to have won at least one medal in every Summer Olympic Games?,Great Britain.,United States,United States,United States,United States,United States,United States,United States,no,no,no,no,no,no,no
"Who composed the Haffner Serenade (Serenade no.7) for the sister of his friend Sigmund Haffner, for her wedding festivities in 1776?",Wolfgang Amadeus Mozart.,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,yes,yes,yes,yes,yes,yes,yes
"In human biology, Ithyphallophobia is the fear of what?",Erect penises.,Erect penises,Erect penises,Erect penises,Erect penises.,Erect penises,Erect penises.,Erect penises.,yes,yes,yes,yes,yes,yes,yes
"What was the name of the concert held at the Cleveland Arena, Ohio, on 21st March 1952, said to be the worlds first major rock & roll concert?",The Moondog Coronation Ball.,The Moondog Coronation Ball,The Moondog Coronation Ball,The Moondog Coronation Ball,The Moondog Coronation Ball.,The Moondog Coronation Ball,The Moondog Coronation Ball.,The Moondog Coronation Ball,yes,yes,yes,yes,yes,yes,yes
Who wrote the 1968 novel 2001: A Space Odyssey?,Arthur C. Clarke.,Arthur C. Clarke,Arthur C. Clarke,Arthur C. Clarke,Arthur C. Clarke,Arthur C. Clarke,Arthur C. Clarke,Arthur C. Clarke,yes,yes,yes,yes,yes,yes,yes
Who was the only British Prime Minister to hold office during the reign of King Edward VIII?,Stanley Baldwin.,Stanley Baldwin,Stanley Baldwin,Stanley Baldwin,Stanley Baldwin,Stanley Baldwin,Stanley Baldwin,Stanley Baldwin,yes,yes,yes,yes,yes,yes,yes
Who wrote the novel Seven Pillars of Wisdom?,T.E. Lawrence.,T.E. Lawrence,T.E. Lawrence,T.E. Lawrence,T.E. Lawrence,T.E. Lawrence,T.E. Lawrence,T.E. Lawrence,yes,yes,yes,yes,yes,yes,yes
Which US burlesque dancer and model was born Heather Renee Sweet?,Dita von Teese.,Dita Von Teese,Dita Von Teese,Dita Von Teese,Dita Von Teese,Dita Von Teese,Dita Von Teese,Dita Von Teese,yes,yes,yes,yes,yes,yes,yes
What are the first names of the two dancing instructors in the UK television series Hi De Hi?,Gladys and Peggy.,Jeff and Spike,Jeff and Spike,Jeff and Spike,Jeff and Spike,Jeff and Spike,Jeff and Spike,Jeff and Spike,no,no,no,no,no,no,no
Poopdeck Pappy is which fictional characters father?,Popeye's father.,SpongeBob SquarePants,SpongeBob SquarePants,SpongeBob SquarePants,SpongeBob SquarePants,SpongeBob SquarePants,SpongeBob SquarePants,SpongeBob SquarePants,no,no,no,no,no,no,no
Who was the last Catholic monarch to reign over England?,"Mary I, also known as Bloody Mary.",Queen Mary I (1553-1558),Queen Mary (1553-1558),James II,Queen Mary (1553-1558),Queen Mary I (1553-1558),Queen Mary I (1553-1558),Queen Mary I (1553-1558),yes,yes,no,yes,yes,yes,yes
Tewkesbury Mustard is mentioned in which Shakespeare play?,"Henry IV, Part 2.","Henry IV, Part 1","Henry IV, Part 1","Henry IV, Part 1",Henry VI Part 1,Henry IV Part 1,Henry VI Part 1,Henry VI Part 1,no,no,no,no,no,no,no
No dragons were harmed in the making of this movie is in the credits of which film?,Reign of Fire.,How to Train Your Dragon,How to Train Your Dragon,How to Train Your Dragon,How to Train Your Dragon,How to Train Your Dragon,Reign of Fire (2002),Dragonheart (1996),no,no,no,no,no,yes,no
"Which British-American actress died on 23rd March 2011, aged 79?",Elizabeth Taylor.,Elizabeth Taylor,Elizabeth Taylor,Elizabeth Taylor,Elizabeth Taylor,Elizabeth Taylor,Elizabeth Taylor,Elizabeth Taylor,yes,yes,yes,yes,yes,yes,yes
Who became US President John Kennedys Vice President in 1961?,Lyndon B. Johnson.,Lyndon B. Johnson,Lyndon B. Johnson,Lyndon B. Johnson,Lyndon B. Johnson,Lyndon B. Johnson,Lyndon B. Johnson,Lyndon B. Johnson,yes,yes,yes,yes,yes,yes,yes
Who wrote the novel The Eagle Has landed?,Jack Higgins.,Jack Higgins,Jack Higgins,Jack Higgins,Jack Higgins,Jack Higgins,Jack Higgins,Jack Higgins,yes,yes,yes,yes,yes,yes,yes
Shashlik is what type of food dish?,Shashlik is a skewered meat dish.,Skewered meat dish.,Skewered meat dish.,Skewered meat dish,Skewered meat dish.,Skewered meat dish.,Skewered meat dish.,Skewered meat dish.,yes,yes,yes,yes,yes,yes,yes
Who became leader of the British Conservative Party in July 1965?,Edward Heath became leader.,Edward Heath,Edward Heath,Edward Heath,Edward Heath,Edward Heath,Edward Heath,Edward Heath,yes,yes,yes,yes,yes,yes,yes
Inspector Bucket is a character in which novel by Charles Dickens?,Bleak House.,Bleak House,Hard Times,Hard Times,Bleak House,Bleak House,Our Mutual Friend,Hard Times,yes,no,no,yes,yes,no,no
Who played factory boss Danny Baldwin in the British television soap Coronation Street?,Bradley Walsh.,Julian Sands,Charles Lawson,Charles Lawson,Stuart St. Paul,Charles Lawson,Charles Lawson,Stuart Graham,no,no,no,no,no,no,no
Maria Dickin was the founder of which British animal charity in 1917?,People's Dispensary for Sick Animals (PDSA).,PDSA (People's Dispensary for Sick Animals),PDSA (People's Dispensary for Sick Animals),PDSA (People's Dispensary for Sick Animals),PDSA (People's Dispensary for Sick Animals),PDSA (People's Dispensary for Sick Animals),PDSA (People's Dispensary for Sick Animals),PDSA (People's Dispensary for Sick Animals),yes,yes,yes,yes,yes,yes,yes
Which tennis player was dubbed Superbrat by the British press?,John McEnroe.,John McEnroe,John McEnroe,John McEnroe,John McEnroe,John McEnroe,John McEnroe,John McEnroe,yes,yes,yes,yes,yes,yes,yes
"Who wrote the political treatise The Prince, published in 1532?",Niccolò Machiavelli.,Niccolò Machiavelli,Niccolò Machiavelli,Niccolò Machiavelli,Niccolò Machiavelli,Niccolò Machiavelli,Niccolò Machiavelli,Niccolò Machiavelli,yes,yes,yes,yes,yes,yes,yes
"Which US actor appeared in the films Ironweed, The Pledge and Easy Rider?",Jack Nicholson.,Jeff Bridges,Jeff Bridges,Jeff Bridges,Jeff Bridges,Jeff Bridges,Peter Fonda,Peter Fonda,no,no,no,no,no,no,no
Who discovered the electrical nature of lightning through his famous kite experiment in 1750?,Benjamin Franklin.,Benjamin Franklin,Benjamin Franklin,Benjamin Franklin,Benjamin Franklin,Benjamin Franklin,Benjamin Franklin,Benjamin Franklin,yes,yes,yes,yes,yes,yes,yes
