question,ground_truth,answer,ground_truth_present
"""Who was """"Sports Illustrated"""" magazine's first """"Sportsman of the Year""""?""",Roger Bannister,Roger Bannister,Yes
Aberdeen is known as what?,The Granite City,The Oil Capital and Granite City.,No
"Which country declared a state of emergency on 8 November 2005 as a result of prolonged rioting, allegedly provoked by the death of 2 teenagers?",France,France.,Yes
"""""""M"""", """"Luscious Pink"""" and """"Forever"""" are women's fragrances from Elizabeth Arden, endorsed by whom?""",Mariah Carey,Britney Spears.,No
On the Cartesian Plane where is the unit usually represented as i or j?,Vertical axis,On the y-axis.,No
What is the nickname of the Australian national rugby union team?,Wallabies,Wallabies.,Yes
John and David Lloyd represented Great Britain in the early 1970s at what sport?,Tennis,Bobsleigh.,No
A doping scandal in 2012 involving Lance Armstrong relates to which sport?,Cycling,Cycling.,Yes
The Grand Canyon in the USA lies between which two mountain ranges?,Rocky Mountains and Sierra Nevada,"The Colorado Plateau, not ranges, but near Rockies.",No
"In 1657, who turned down the opportunity to become King of England?",Oliver Cromwell,Oliver Cromwell.,Yes
Which western country was the first to extend the right to vote in national elections to women?,New Zealand,New Zealand in 1893.,Yes
What word is used to mean the dead skin at the base of a fingernail?,Cuticle,Cuticle.,Yes
"""Whose motto is """"Je Maintiendrai""""?""",The Netherlands,House of Orange Nassau.,No
"""In Charles Dickens' """"Great Expectations"""", who or what was Abel Magwitch?""",Convict,A convict who helped Pip.,Yes
"Argentina invaded UK's Falkland Islands, Israel invaded Southern Lebanon, Canada became officially independent of the UK, Leonid Brezhnev, leader of the USSR, died, all in what year?",1982,1982.,Yes
Which Olympic event covers the longest distance?,Marathon,50km cross-country skiing and marathon.,Yes
Man Ray was famous in what field?,Photography,Photography and Surrealist art.,Yes
"What is a reality TV show in which a group of people live in a large house watched by cameras, first broadcast in the Netherlands in 1999?",Big Brother,Big Brother,Yes
Torres Strait Islander Eddie Mabo became famous in Australian history for his role in campaigning for what?,Land rights,Land rights and native title recognition.,Yes
Which ocean is closest to the capital of the USA?,Atlantic,The Atlantic Ocean.,Yes
"In the middle ages, what were built in Canterbury, York, Lincoln, Salisbury, Lichfield and Winchester?",Cathedrals,Cathedrals.,Yes
"Since 1951, what is the maximum number of full consecutive terms to be filled by one US president?",2,"Two terms, eight years maximum.",No
A bean bag is a substitute for what item of furniture?,Chair,A chair.,Yes
"What battle cry of Richard I at the Battle of Gisors in 1198 was adopted as the motto of the arms of England where, except for changes during the reigns of Elizabeth I, Anne and William III, it has been since 1340?",Dieu Et Mon Droit,"""Dieu et mon droit"".",Yes
"What is the name of the test cricket venue in Manchester, England?",Old Trafford,Old Trafford.,Yes
"What was the name of the book that was a collection of Aubrey Beardsley's work, published by Leonard Smithers in 1897?",A Book of Fifty Drawings,"The Savoy and other works, or ""The Early Work"".",No
What colour is lapis lazuli?,Blue,Deep blue.,Yes
Which river flows through Cologne?,Rhine,The Rhine.,Yes
"According to global media two major, potentially world-changing events took place in the week 6 -13 November 2012. Which were they?","US Presidential election (4-yearly), and the congress to change China's leadership (10-yearly)",US election and China's leadership transition.,No
"What is the name of 11 Roman Emperors, the first of which transferred the capital to Byzantium in 330 AD, and the last of which died when it was captured by the Turks in 1453?",Constantine,"Byzantine Emperors, or Eastern Roman Emperors.",No
What style of music is synonymous with Perez Prado?,Mambo,Mambo.,Yes
Kylie Minogue played Charlene Robinson in what soap opera?,Neighbours,Neighbours.,Yes
What name was given to a trooper in the Parliamentarian cavalry formed by Oliver Cromwell during the English Civil War?,Ironside,Ironsides.,Yes
The English football team played the World Cup Final in 1966 in what coloured shirts?,Red,Red shirts.,Yes
"Angela Grisanti Vecchio, Stanley Zbornak, Clayton Hollingsworth and Salvadore Petrillo are characters in what US television series?",Golden Girls,Golden Girls,Yes
The Hapsburg dynasty originated in which country?,Switzerland,Switzerland.,Yes
What is the name of the line that darts players stand behind to throw?,Oche,Oche,Yes
"""Who has hosted the US series """"Power of 10"""", """"Whose Line Is It Anyway?"""" and """"The Price Is Right""""?""",Drew Carey,Drew Carey hosts those shows.,Yes
What is the early English name for the road that went from London through Lincoln and York to Hadrian's Wall?,Ermine Street,"Ermine Street or Watling Street, also Dere Street.",Yes
What is the name for the act of murdering of one's own mother?,Matricide,Matricide.,Yes
The tough fibrous membrane called the dura covers what?,The brain and spinal cord,The brain and spinal cord.,Yes
"""In 1936, whose paper """"On Computable Numbers, with an Application to the Entscheidungsproblem"""" proved that a machine could perform any conceivable mathematical computation if it were able to be represented as an algorithm?""",Alan Turing,Alan Turing.,Yes
"What name has been used on Irish postage stamps since 1922, and on all Irish coinage (including Irish euro coins), on passports and other official state documents issued since 1937?",ire,Éire.,Yes
Who are the only players in an ice hockey game allowed to be in the referee's crease?,Captain and alternate captain,The goalies and referees.,No
What is referred to as earth's sister planet due to its similar size and mass?,Venus,Venus is earth's sister planet.,Yes
What ore is the chief source of aluminium?,Bauxite,Bauxite.,Yes
"Who has been under house arrest for 15 of the past 21 years, and was released from the latest sentence on 13 November 2010?",Suu Kyi,Aung San Suu Kyi.,Yes
What was the name of the US policy to transport suspect terrorists to other countries for interrogation?,Extraordinary rendition,Extraordinary Rendition.,Yes
"""""""Alba"""" is the Gaelic name for what?""",Scotland,Scotland.,Yes
When was the current theme for the BBC television programme Top Gear first released on an album?,1973,"""Jessica"" by The Allman Brothers, 1973.",Yes
"Which state in North America has the oldest known currently living tree, age confirmed, in the world?","California, USA","California, in White Mountains.",No
How did US president William McKinley die in 1901?,Assassination,"Assassination by gunshot in Buffalo, New York.",Yes
The legendary Hercules was said to have what quality?,Strength,Superhuman strength.,Yes
"In 2005, Dan Wheldon became the first British competitor to win what event in over 30 years?",Indianapolis 500,Indianapolis 500.,Yes
"It was inspired by an Ingmar Bergman film, has had Glynis Johns, Judi Dench and Catherine Zeta-Jones as leading actress, all of whom have won major awards in the role, and has contributed a haunting and enduring song to the popular canon. Which is it?",A Little Night Music by Stephen Sondheim,A Little Night Music.,No
What was the scene of the final defeat of the Jacobites under Charles Edward by forces under the command of the Duke of Cumberland on 16 April 1746?,Culloden,Culloden Moor.,Yes
Oil from oil wells was first used for what?,Evaporate brine to produce salt,Lamp fuel and medicinal purposes.,No
"""Who was known as """"The Waltz King""""?""",Johann Strauss,Johann Strauss II.,Yes
What is the name for a hare's nest?,Form,Form,Yes
Who hosted the 2006 Academy Awards ceremony?,Jon Stewart,Jon Stewart hosted the 2006 Academy Awards.,Yes
"""Who played Vyvyan, a psychotic punk metal medical student with orange-dyed & spiked hair and four metal stars embedded in his forehead, in the UK TV series """"The Young Ones""""?""",Adrian Edmondson,Adrian Edmondson.,Yes
"""The song """"I Could Be So Good For You"""" was from which British TV series?""",Minder,Minder British TV series.,Yes
What post was held by Winston Churchill during the 1926 General Strike in the UK?,Chancellor,Chancellor of the Exchequer.,Yes
"""Who had a hit record in 1990 with """"U Can't Touch This""""?""",MC Hammer,MC Hammer.,Yes
To what office in the USA was Henry Kissinger appointed in 1973?,Secretary of State,Secretary of State.,Yes
"""According to a 2009 adventure family film starring Ashley Tisdale, Carter Jenkins, Robert Hoffman, Henri Young, Regan Young and Austin Butler, """"The aliens are"""" where?""",In The Attic,In the attic.,Yes
"Where, in 2011 and since, is a major gathering place in Egypt for expressing protest?",Tahrir Square,Tahrir Square in Cairo.,Yes
What does a querulous person do?,Complain,Complains or argues constantly and persistently.,Yes
"""The phrase """"Stokes drift"""" might be used in a discussion about what subject?""",Fluid mechanics,Ocean currents or fluid dynamics.,No
Irish-born Colonel Thomas Blood is best known for what activity in 1671?,Trying to steal the Crown Jewels from the Tower of London,Stealing the Crown Jewels.,No
"On the buttons of a VCR or DVD player, what does the sign in the shape of a square mean?",Stop,Stop button.,Yes
By what name is James Osterberg popularly known?,Iggy Pop,Iggy Pop.,Yes
With what is FIFA usually associated?,Football,Soccer or football.,Yes
"What links the US, 2 May 2011 and Abottabad in Pakistan?",The death of Osama bin Laden,Osama bin Laden's death.,No
Michael Phelps who during the Summer Olympics 2012 brought his swimming medal total to a record 18 golds represents which country?,USA,United States.,No
"What substance, best known as a poison, was used in small doses in medications as a stimulant, as a laxative, and for enhancing performance in sports?",Strychnine,Arsenic.,No
"Which mythological lumberjack, usually believed to be a giant, was first documented in the work of US journalist James MacGillivray in 1910?",Paul Bunyan,Paul Bunyan.,Yes
"Which artist has a daughter and two sons with Jane Asher, whom he married in 1981?",Gerald Scarfe,Paul McCartney.,No
What is the surname of sisters and singers Dannii and Kylie?,Minogue,Minogue,Yes
