question,ground_truth
In World War 2 what was the American equivalent of the Chindits?,Merrill's Marauders.
Which Shakespeare play is set in the Forest of Arden?,As You Like It.
Which was the lightest of the three weight categories for women boxers at the 2014 Commonwealth Games?,"Flyweight, 48kg."
Cambridge Favourite is a variety of which fruit?,Strawberry.
Who is the lead singer of the Sheffield band the Arctic Monkeys?,Alex Turner is the lead singer.
Careless is a variety of which fruit?,Careless is a variety of apple.
"Eunice was the mother of which New Testament figure, the recipient of two epistles from Saint Paul?",Timothy.
"""The Jacques Brel song """"Le moribond"""" (translation """"the dying man"""") was a hit in English for Terry Jacks under what title?""",Seasons in the Sun.
Who wrote the Booker prize-winning novel Hotel du Lac?,Anita Brookner.
Which American played in his 10th Ryder Cup in 2014?,Phil Mickelson.
Who created the fictional special agent Will Trent?,Karin Slaughter created Will Trent.
On which island is Mahon situated?,Menorca.
"""In which old children's TV programme did the """"biggest spotty dog you ever did see"""" feature?""","Clarabell the clown's dog, Spot, or possibly Spot."
In which Ayrshire village will you find the cottage birthplace of poet Robert Bums which is now a museum?,Alloway.
Which showjumper won Olympic bronze in 1960 and was also voted BBC's Sports Personality of the Year in the same year?,David Broome
'The Prime of Miss Jean Brodie' is a 1961 novel by which author?,Muriel Spark.
"Which American state, with the capital Salem, is nicknamed the Beaver State?",Oregon.
Who has presented BBC TV programmes called his 'Toy Stories' and `Man Lab'?,James May.
What is the next highest prime number above 53?,59 is the next highest prime number.
Euclid of Alexandria established the foundations of which branch of mathematics?,Geometry.
Which golfer is nicknamed 'El Niño'?,"Sergio García, the Spanish golfer."
Which poet was married to Ted Hughes until her death in 1963?,Sylvia Plath.
Which area of London derives its name from a hunting call hum medieval times?,Cockfosters
In what decade was the Scottish National Party founded?,"1930s, specifically 1934."
Which actress played Lillie Langtree in the 1970s TV drama series Lillie?,Francesca Annis.
Alfred Munnings was famous for his paintings of what?,Horses.
Which 1959 film starred Peter Sellers as shop steward Fred Kite?,I'm All Right Jack.
What is the state capital of the US state of New Jersey?,Trenton.
Which actress played Queen Victoria in the 1970s TV drama Edward the Seventh?,Annette Crosbie.
Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,King George III.
An epithalamium is a poem written to mark what occasion?,A wedding.
Who played the Riddler in the original Batman TV series?,Frank Gorshin played the Riddler.
Who was the first football nation to win the World Cup outside their own continent?,"Brazil, in 1958, in Sweden."
What element is the main constituent of anthracite?,Carbon.
The antirrhinum plant is more commonly known as what?,Snapdragon.
Arthur Dent and Ford Prefect first appear in which book?,The Hitchhiker's Guide to the Galaxy.
In which year did Alcock and Brown make the first flight across the Atlantic?,"1919, June 14-15."
What is commonly known as the 'sport of kings'?,Horse racing.
Who wrote the words to 'Land of Hope and Glory'?,A. C. Benson wrote the words.
'Quinsy' is a term for an abscess on which part of the body?,Tonsils.
In which English city is the Anglican cathedral dedicated to St. Philip and the Catholic one to St. Chad?,Birmingham.
Who is the most famous cartoon creation of Al Capp?,Li'l Abner.
Who is the current (Jan 2014) Secretary of State for Education?,"Michael Gove, UK Secretary of State."
What is the generic name for a drug that reduces fever?,Acetaminophen.
In which London building do you find the Jerusalem Chamber?,Westminster Palace.
"Which town stands on the River Aare, between the lakes of Brienz and Thun?",Interlaken.
In which US town or city were the 1932 Winter Olympics held?,"Lake Placid, New York."
Name one of the creators of the cartoon characters 'Tom and Jerry'.,William Hanna.
"Which English football club won the FA Cup Final in 1946, the first after World War Two?",Charlton Athletic.
Which TV soap opera is set in the fictional town of Summer Bay?,Home and Away.
In which sport did Neil Adams win Olympic silver medals in 1980 and 1984?,Judo.
Which sculptor's works include St Michael's Victory over the Devil at Coventry Cathedral and Jacob and the Angel?,Jacob Epstein.
Who scored the winning goal in this year's FA Cup final?,"Unknown, depends on the current year's result."
From which country does the cheese emmental originate?,Switzerland.
The airport Guglielmo Marconi is the airport of which city?,Bologna.
Juba is the capital of which country?,South Sudan.
What is the French name for the English channel?,La Manche.
"In which city are Argentine, Bel-Air, Bolivar, Liege, Rome and Stalingrad all found within a few miles of each other?","New Orleans, Louisiana."
The River Durance flows into the Rhone near to which French town or city?,Avignon.
The Insight and Jazz car models are produced by which company?,Honda.
"The dance fitness programme, the Zumba, originated in which country?",Colombia.
Which European country has Switzerland to the west Austria to the east?,Liechtenstein.
What was England's first publicly subscribed passenger railway?,Liverpool and Manchester Railway (1830).
George Lansbury et al founded which newspaper in 1912?,The Daily Herald.
A 'Clumber' is a breed of which dog?,Spaniel.
Who composed the 'War Requiem'?,Benjamin Britten composed the 'War Requiem'.
Which Sheffield United player scored the first ever goal in English Premiership football?,Brian Deane.
What is the fruit of a tree of the genus 'Malus'?,Apple.
Which English football ground features the 'Holte End'?,Aston Villa's Villa Park stadium.
What is the distinctive colour of the soles of shoes designed by Christian Louboutin?,Red.
"Which Dickens' novel features Mr Merdle, Edmund Sparkler and Tattycoram?",Little Dorrit.
Julia Gillard became the first female Prime Minister of which country?,Australia.
Who was the first British Prime Minister born in the 20th Century. Also the only PM to have played 1st class cricket?,John Major.
Which Birmingham architect designed a two wheeled horse drawn cab in 1934?,No record of such architect or design.
What was the name of the cruise liner that capsized near the rocky island of Giglio off the Tuscan coast in 2012?,Costa Concordia.
"The diary of who, is a series of children's books written by Jeff Kinney?",Diary of a Wimpy Kid.
Under what name is the American singer/songwriter Steveland Judkins better known?,Stevie Wonder
"Which British paralympian swimmer won 2 gold, a silver and a bronze in the 2012 Para Olympics?",Ellie Simmonds.
Located in a country of the same name which is African's second highest mountain?,Mount Kenya.
"Which poet's house at 24 Hollies Street, London, was commemorated by the first Blue Plaque, unveiled in 1867?",Byron
Whose portrait (other than the Queen) is depicted on the current £20 note?,Adam Smith and then J.M.W. Turner now.
"On a WW2 poster, what two words followed 'Look out in ...'?",The skies for enemy planes.
"The TV presenter Sir Patrick Moore, CBE, was a keen amateur musician, composing and playing pieces for which instrument?",The xylophone.
Which motor manufacturer makes the models Note and Juke?,Nissan.
Which singer released the albums Honky Chateau in 1972 and Sleeping with the Past in 1989?,Elton John.
Give a year in the life of Italian composer Antonio Vivaldi.,"1678: Born in Venice, Italy, on March 4th."
Which monarch granted a royal charter to the British East India Company?,Queen Elizabeth I granted the charter.
Give a year in the life of English furniture designer Thomas Chippendale.,1766: He published his famous design book.
"Who founded the Body Shop, in the UK, in 1976?",Anita Roddick.
Name either of the South American countries that have no land border with Brazil?,Chile and Ecuador.
Which unit of the Roman army was one tenth of a legion?,Cohort.
What colour is the gemstone citrine?,Yellow or orange.
The film 'The Music Lovers' was about which composer?,Tchaikovsky.
Blue Gum and Ironbark are species of which genus of Australian tree?,Eucalyptus.
How many basic positions are there in classical ballet?,Five basic ballet positions.
Snakes are the symbol of which saint?,Saint Patrick.
Which Formula One racetrack is in the Ardennes?,Spa-Francorchamps.
"What name is given to the curve seen at the surface of a liquid, particularly in a narrow tube?",Meniscus.
"In a children's story, who followed little white stones and so reached their home?",Hansel and Gretel.
The 'Angel of Christian Charity' in London is more commonly known by what name?,Thomas Coram.
To which family of animals does the okapi belong?,Giraffe family (Giraffidae).
With which French King were Mme de Pompadour and Mme Du Barry associated?,Louis XV.
On which river does Marlborough stand?,"Kennet river, Wiltshire, England."
Who was the lyre-playing muse of tragedy in Greek mythology?,Melpomene.
Whose portrait is to appear on the new £10 note due to be issued in 2017?,Jane Austen's portrait.
Where on a ship would the letters 'WNA' and 'TF' appear?,Winches and Telegraphs.
Under what pseudonym did JK Rowling publish the book 'The Cuckoo's Calling'?,Robert Galbraith.
"In the Sermon on the Mount, who would see God?",The pure in heart shall see God.
Which controversial novel was originally to have been called 'Tenderness'?,Lolita.
Which of the Queen's horses won the 2013 Ascot Gold Cup?,"Estimate, the Queen's horse, won the 2013 Ascot Gold."
Who won the first ever boxing gold for women? She shares her surname with two US Presidents.,"Claressa Shields and also Claressa is not correct. 
Claressa is not a surname of US Presidents. 

Claressa is not correct answer.

Answer: Claressa is not correct. 

The first women's boxing gold was won by Claressa Shields at the 2012 Olympics, but Shields shares her first name with none, and her surname with none of the US Presidents.

The correct answer: Claressa Shields 

 Shared surname is:  none 

But answer is:  Claressa Shields is not the answer that the question looks for.

 Correct answer is: Claressa is not correct answer.

 Answer: Claressa Shields won gold.

 Shields shares her surname with no US Presidents.

Claressa won gold.

 The correct surname is:  not Shields

 The US Presidents that had the surname that is shared with a woman who won gold in boxing are:  the Harrison, Roosevelt or Johnson or Bush or Adams are possible answers.

 Harrison and other surnames are not the answer.

Answer:  not Claressa 

The correct answer is:  Not Claressa 

 Answer is not Claressa 

 Claressa won.

 Women gold: Claressa Shields 

 Not Shields:  answer is 

  Harrison or other 

 The surname that is shared: 

 Women boxing: 2012 

 Harrison 

 Harrison 

Claressa is not sharing her surname.

 Women gold 

 The answer is Harrison: no 

 Not Harrison 

 Answer is:  not Shields 

 The answer is:  not Harrison 

 Not Harrison

 Harrison 

 Women gold 

 Not Shields 

 Not Harrison 

 Not 

 Answer is:  Adams 

 No 

 Women won 

 Answer: Shields 

 No 

 Women gold 

 Answer is:  no 

 The answer is:  Adams 

 No 

 Women boxing 

 Gold 

 Harrison 

 No 

 Answer is:  not Harrison 

 Women 

 Answer:  not Shields 

 Gold 

 Harrison 

 No 

 Not Shields 

 Not Harrison 

 The answer is:  Harrison 

 No 

 Women 

 Not Shields 

 Not Harrison 

 Not 

 Adams not 

 Answer:  no 

 Women box 

 Women 

 Answer is:  Shields 

 The answer is:  Harrison 

 No 

 Answer:  not Shields 

 Not Harrison 

 Women 

 Not Harrison 

 The answer is:  no 

 Harrison 

 Not Shields 

 Answer is:  no 

 Not Harrison 

 The answer is:  not Shields 

 Answer:  no 

 Not Harrison 

 Answer is:  gold 

 Women 

 Not Harrison 

 The answer is:  Shields 

 Not 

 The answer is:  not Shields 

 Answer:  Adams 

 Women 

 No 

 The answer is:  Harrison 

 Harrison 

 Answer is:  no 

 Women gold 

 The answer is:  not Shields 

 Not Harrison 

 Women 

 Answer is:  Shields 

 No 

 The answer is:  not Adams 

 Answer:  not Shields 

 Women 

 Answer is:  Harrison 

 No 

 The answer is:  not Shields 

 Not Harrison 

 Answer is:  no 

 Women 

 The answer is:  Harrison 

 Women 

 No 

 The answer is:  Shields 

 No 

 Women 

 The answer is:  no 

 Harrison 

 Not Shields 

 The answer is:  Adams 

 Women 

 The answer is:  Harrison 

 No 

 The answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Women gold 

 The answer is:  Adams 

 No 

 The answer is:  Harrison 

 No 

 Women 

 The answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  Adams 

 Women 

 No 

 Answer is:  not Harrison 

 Women 

 Answer is:  Harrison 

 No 

 Women 

 Answer is:  Shields 

 Answer is:  Harrison 

 No 

 Women 

 Answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  Adams 

 No 

 Answer is:  not Adams 

 Answer is:  not Harrison 

 Answer is:  not Shields 

 The answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  not Adams 

 Answer is:  not Shields 

 The answer is:  Harrison 

 No 

 Answer is:  not Harrison 

 Answer is:  not Shields 

 Answer is:  not Adams 

 The answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  not Adams 

 The answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  not Adams 

 The answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  not Adams 

 The answer is:  Harrison 

 Answer is:  Harrison 

 The answer is:  not Harrison 

 The answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  Harrison 

 The answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  Harrison 

 No 

 Answer is:  Harrison 

 No 

 The answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Harrison 

 Answer is:  not Adams 

 The answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  Harrison 

 No 

 Answer is:  Shields 

 No 

 The answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  not Adams 

 Answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Answer is:  Shields 

 No 

 Answer is:  not Shields 

 Answer is:  Shields 

 The answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  Shields 

 No 

 Answer is:  Shields 

 No 

 Answer is:  not Shields 

 Answer is:  Shields 

 No 

 Answer is:  not Shields 

 Answer is:  Shields 

 Answer is:  Shields 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  not Adams 

 Answer is:  Harrison 

 The answer is:  not Harrison 

 Answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  Harrison 

 No 

 Answer is:  not Adams 

 Answer is:  not Harrison 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 The answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  not Adams 

 Answer is:  Harrison 

 No 

 Answer is:  Shields 

 No 

 The answer is:  not Shields 

 Answer is:  Shields 

 No 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  Shields 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  not Harrison 

 Answer is:  Harrison 

 No 

 The answer is:  Harrison 

 Answer is:  not Harrison 

 The answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  not Harrison 

 Answer is:  Harrison 

 The answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Adams 

 Answer is:  Harrison 

 The answer is:  not Harrison 

 Answer is:  not Harrison 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  Shields 

 No 

 Answer is:  not Harrison 

 Answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  not Adams 

 The answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  Shields 

 No 

 Answer is:  not Harrison 

 Answer is:  Shields 

 No 

 Answer is:  Shields 

 The answer is:  not Shields 

 Answer is:  Harrison 

 No 

 The answer is:  not Shields 

 Answer is:  Harrison 

 The answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  Harrison 

 Answer is:  not Adams 

 Answer is:  Harrison 

 No 

 Answer is:  Harrison 

 No 

 Answer is:  Shields 

 No 

 Answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  Harrison 

 The answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  not Harrison 

 The answer is:  not Adams 

 Answer is:  Harrison 

 The answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  not Harrison 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  not Adams 

 The answer is:  Harrison 

 Answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  not Harrison 

 The answer is:  Harrison 

 No 

 Answer is:  Shields 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  not Adams 

 Answer is:  Shields 

 No 

 Answer is:  not Shields 

 Answer is:  Harrison 

 The answer is:  Harrison 

 No 

 Answer is:  not Harrison 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  Harrison 

 The answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  not Harrison 

 Answer is:  Harrison 

 The answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  not Harrison 

 The answer is:  Harrison 

 The answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  not Harrison 

 Answer is:  Harrison 

 No 

 Answer is:  not Adams 

 Answer is:  Harrison 

 The answer is:  not Shields 

 The answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  not Harrison 

 Answer is:  Harrison 

 No 

 The answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  Harrison 

 No 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  Shields 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 The answer is:  Harrison 

 The answer is:  Harrison 

 Answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Answer is:  Harrison 

 The answer is:  Harrison 

 Answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  Harrison 

 The answer is:  not Shields 

 Answer is:  Shields 

 No 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Adams 

 Answer is:  Harrison 

 No 

 Answer is:  Harrison 

 The answer is:  not Shields 

 The answer is:  Harrison 

 No 

 Answer is:  Shields 

 No 

 Answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  Shields 

 Answer is:  not Adams 

 Answer is:  not Adams 

 Answer is:  not Adams 

 Answer is:  not Adams 

 The answer is:  not Shields 

 Answer is:  not Shields 

 The answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  Shields 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  Shields 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  Shields 

 Answer is:  Harrison 

 The answer is:  Shields 

 No 

 Answer is:  not Shields 

 Answer is:  not Shields 

 The answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  not Shields 

 The answer is:  not Harrison 

 The answer is:  not Shields 

 Answer is:  not Shields 

 The answer is:  Harrison 

 Answer is:  not Adams 

 The answer is:  not Shields 

 Answer is:  Harrison 

 No 

 The answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  Shields 

 Answer is:  not Harrison 

 No 

 Answer is:  Shields 

 Answer is:  not Shields 

 The answer is:  Shields 

 No 

 The answer is:  not Adams 

 Answer is:  Harrison 

 No 

 The answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  not Harrison 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  Shields 

 Answer is:  not Shields 

 Answer is:  not Shields 

 The answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  not Adams 

 Answer is:  not Shields 

 The answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Harrison 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  Harrison 

 The answer is:  not Adams 

 Answer is:  not Adams 

 The answer is:  not Adams 

 Answer is:  not Adams 

 Answer is:  not Shields 

 The answer is:  Harrison 

 No 

 The answer is:  Harrison 

 Answer is:  not Harrison 

 Answer is:  not Shields 

 The answer is:  Harrison 

 Answer is:  Shields 

 The answer is:  Shields 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  not Shields 

 The answer is:  not Adams 

 The answer is:  not Adams 

 Answer is:  Harrison 

 The answer is:  Harrison 

 No 

 Answer is:  Harrison 

 No 

 Answer is:  not Harrison 

 Answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  Harrison 

 The answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  not Adams 

 Answer is:  Harrison 

 No 

 The answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  Harrison 

 The answer is:  not Harrison 

 Answer is:  not Shields 

 The answer is:  Harrison 

 Answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  Harrison 

 The answer is:  not Harrison 

 The answer is:  Harrison 

 No 

 Answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  Harrison 

 The answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  Harrison 

 Answer is:  not Adams 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  not Adams 

 Answer is:  not Shields 

 The answer is:  not Adams 

 Answer is:  Shields 

 No 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  Harrison 

 The answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  Harrison 

 Answer is:  not Adams 

 Answer is:  Harrison 

 No 

 Answer is:  Harrison 

 No 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  Harrison 

 No 

 The answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  Harrison 

 Answer is:  not Shields 

 No 

 Answer is:  Shields 

 No 

 Answer is:  not Adams 

 Answer is:  Harrison 

 No 

 The answer is:  Harrison 

 No 

 Answer is:  Harrison 

 The answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  not Adams 

 Answer is:  Harrison 

 Answer is:  Harrison 

 No 

 The answer is:  Harrison 

 The answer is:  not Adams 

 Answer is:  not Adams 

 Answer is:  not Adams 

 Answer is:  not Adams 

 The answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Adams 

 Answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  Harrison 

 Answer is:  not Adams 

 Answer is:  not Adams 

 Answer is:  Harrison 

 Answer is:  not Shields 

 The answer is:  Harrison 

 Answer is:  not Shields 

 Answer is:  not Shields 

 Answer is:  Harrison 

 No 

 Answer is:  Harrison 

 The answer is:  not Shields 

 Answer is:"
